sample_numb,date,time,do_conc_mg_l,temp_c,loggerID,month,season
58,2021-09-21,15:45:00,9.74,16.98,20078576,9,fall
59,2021-09-21,15:50:00,9.72,16.98,20078576,9,fall
60,2021-09-21,15:55:00,9.75,16.96,20078576,9,fall
61,2021-09-21,16:00:00,9.78,16.94,20078576,9,fall
62,2021-09-21,16:05:00,9.78,16.94,20078576,9,fall
63,2021-09-21,16:10:00,9.78,16.92,20078576,9,fall
64,2021-09-21,16:15:00,9.77,16.9,20078576,9,fall
65,2021-09-21,16:20:00,9.73,16.88,20078576,9,fall
66,2021-09-21,16:25:00,9.73,16.84,20078576,9,fall
67,2021-09-21,16:30:00,9.71,16.8,20078576,9,fall
68,2021-09-21,16:35:00,9.71,16.8,20078576,9,fall
69,2021-09-21,16:40:00,9.73,16.76,20078576,9,fall
70,2021-09-21,16:45:00,9.74,16.74,20078576,9,fall
71,2021-09-21,16:50:00,9.75,16.74,20078576,9,fall
72,2021-09-21,16:55:00,9.74,16.74,20078576,9,fall
73,2021-09-21,17:00:00,9.75,16.72,20078576,9,fall
74,2021-09-21,17:05:00,9.75,16.72,20078576,9,fall
75,2021-09-21,17:10:00,9.75,16.72,20078576,9,fall
76,2021-09-21,17:15:00,9.74,16.72,20078576,9,fall
77,2021-09-21,17:20:00,9.74,16.7,20078576,9,fall
78,2021-09-21,17:25:00,9.74,16.7,20078576,9,fall
79,2021-09-21,17:30:00,9.73,16.7,20078576,9,fall
80,2021-09-21,17:35:00,9.67,16.68,20078576,9,fall
81,2021-09-21,17:40:00,9.66,16.64,20078576,9,fall
82,2021-09-21,17:45:00,9.66,16.64,20078576,9,fall
83,2021-09-21,17:50:00,9.64,16.62,20078576,9,fall
84,2021-09-21,17:55:00,9.68,16.6,20078576,9,fall
85,2021-09-21,18:00:00,9.68,16.58,20078576,9,fall
86,2021-09-21,18:05:00,9.7,16.58,20078576,9,fall
87,2021-09-21,18:10:00,9.71,16.58,20078576,9,fall
88,2021-09-21,18:15:00,9.72,16.56,20078576,9,fall
89,2021-09-21,18:20:00,9.73,16.54,20078576,9,fall
90,2021-09-21,18:25:00,9.73,16.52,20078576,9,fall
91,2021-09-21,18:30:00,9.72,16.5,20078576,9,fall
92,2021-09-21,18:35:00,9.73,16.48,20078576,9,fall
93,2021-09-21,18:40:00,9.72,16.44,20078576,9,fall
94,2021-09-21,18:45:00,9.73,16.42,20078576,9,fall
95,2021-09-21,18:50:00,9.72,16.42,20078576,9,fall
96,2021-09-21,18:55:00,9.71,16.4,20078576,9,fall
97,2021-09-21,19:00:00,9.7,16.4,20078576,9,fall
98,2021-09-21,19:05:00,9.69,16.38,20078576,9,fall
99,2021-09-21,19:10:00,9.7,16.36,20078576,9,fall
100,2021-09-21,19:15:00,9.7,16.32,20078576,9,fall
101,2021-09-21,19:20:00,9.68,16.28,20078576,9,fall
102,2021-09-21,19:25:00,9.69,16.26,20078576,9,fall
103,2021-09-21,19:30:00,9.69,16.24,20078576,9,fall
104,2021-09-21,19:35:00,9.67,16.24,20078576,9,fall
105,2021-09-21,19:40:00,9.66,16.22,20078576,9,fall
106,2021-09-21,19:45:00,9.67,16.2,20078576,9,fall
107,2021-09-21,19:50:00,9.65,16.16,20078576,9,fall
108,2021-09-21,19:55:00,9.68,16.14,20078576,9,fall
109,2021-09-21,20:00:00,9.67,16.12,20078576,9,fall
110,2021-09-21,20:05:00,9.67,16.08,20078576,9,fall
111,2021-09-21,20:10:00,9.68,16.06,20078576,9,fall
112,2021-09-21,20:15:00,9.7,16.04,20078576,9,fall
113,2021-09-21,20:20:00,9.72,16.02,20078576,9,fall
114,2021-09-21,20:25:00,9.72,16,20078576,9,fall
115,2021-09-21,20:30:00,9.72,15.98,20078576,9,fall
116,2021-09-21,20:35:00,9.71,15.96,20078576,9,fall
117,2021-09-21,20:40:00,9.69,15.94,20078576,9,fall
118,2021-09-21,20:45:00,9.67,15.94,20078576,9,fall
119,2021-09-21,20:50:00,9.66,15.92,20078576,9,fall
120,2021-09-21,20:55:00,9.5,15.9,20078576,9,fall
121,2021-09-21,21:00:00,9.41,15.86,20078576,9,fall
122,2021-09-21,21:05:00,9.6,15.9,20078576,9,fall
123,2021-09-21,21:10:00,9.6,15.96,20078576,9,fall
124,2021-09-21,21:15:00,9.58,16,20078576,9,fall
125,2021-09-21,21:20:00,9.58,16.02,20078576,9,fall
126,2021-09-21,21:25:00,9.57,16.04,20078576,9,fall
127,2021-09-21,21:30:00,9.57,16.04,20078576,9,fall
128,2021-09-21,21:35:00,9.57,16.04,20078576,9,fall
129,2021-09-21,21:40:00,9.56,16.04,20078576,9,fall
130,2021-09-21,21:45:00,9.55,16.02,20078576,9,fall
131,2021-09-21,21:50:00,9.55,16,20078576,9,fall
132,2021-09-21,21:55:00,9.56,16.02,20078576,9,fall
133,2021-09-21,22:00:00,9.57,16.02,20078576,9,fall
134,2021-09-21,22:05:00,9.54,16,20078576,9,fall
135,2021-09-21,22:10:00,9.55,15.96,20078576,9,fall
136,2021-09-21,22:15:00,9.56,15.94,20078576,9,fall
137,2021-09-21,22:20:00,9.56,15.92,20078576,9,fall
138,2021-09-21,22:25:00,9.56,15.9,20078576,9,fall
139,2021-09-21,22:30:00,9.56,15.9,20078576,9,fall
140,2021-09-21,22:35:00,9.48,15.92,20078576,9,fall
141,2021-09-21,22:40:00,9.53,15.9,20078576,9,fall
142,2021-09-21,22:45:00,9.55,15.86,20078576,9,fall
143,2021-09-21,22:50:00,9.57,15.86,20078576,9,fall
144,2021-09-21,22:55:00,9.56,15.92,20078576,9,fall
145,2021-09-21,23:00:00,9.57,15.94,20078576,9,fall
146,2021-09-21,23:05:00,9.55,15.94,20078576,9,fall
147,2021-09-21,23:10:00,9.55,15.92,20078576,9,fall
148,2021-09-21,23:15:00,9.54,15.88,20078576,9,fall
149,2021-09-21,23:20:00,9.56,15.88,20078576,9,fall
150,2021-09-21,23:25:00,9.57,15.94,20078576,9,fall
151,2021-09-21,23:30:00,9.55,15.96,20078576,9,fall
152,2021-09-21,23:35:00,9.54,15.96,20078576,9,fall
153,2021-09-21,23:40:00,9.55,15.94,20078576,9,fall
154,2021-09-21,23:45:00,9.55,15.94,20078576,9,fall
155,2021-09-21,23:50:00,9.54,15.96,20078576,9,fall
156,2021-09-21,23:55:00,9.55,15.98,20078576,9,fall
157,2021-09-22,00:00:00,9.54,15.96,20078576,9,fall
158,2021-09-22,00:05:00,9.53,15.94,20078576,9,fall
159,2021-09-22,00:10:00,9.53,15.92,20078576,9,fall
160,2021-09-22,00:15:00,9.54,15.88,20078576,9,fall
161,2021-09-22,00:20:00,9.54,15.88,20078576,9,fall
162,2021-09-22,00:25:00,9.54,15.9,20078576,9,fall
163,2021-09-22,00:30:00,9.53,15.88,20078576,9,fall
164,2021-09-22,00:35:00,9.55,15.84,20078576,9,fall
165,2021-09-22,00:40:00,9.54,15.84,20078576,9,fall
166,2021-09-22,00:45:00,9.55,15.86,20078576,9,fall
167,2021-09-22,00:50:00,9.54,15.86,20078576,9,fall
168,2021-09-22,00:55:00,9.53,15.84,20078576,9,fall
169,2021-09-22,01:00:00,9.52,15.82,20078576,9,fall
170,2021-09-22,01:05:00,9.53,15.8,20078576,9,fall
171,2021-09-22,01:10:00,9.53,15.76,20078576,9,fall
172,2021-09-22,01:15:00,9.53,15.76,20078576,9,fall
173,2021-09-22,01:20:00,9.55,15.76,20078576,9,fall
174,2021-09-22,01:25:00,9.55,15.76,20078576,9,fall
175,2021-09-22,01:30:00,9.53,15.74,20078576,9,fall
176,2021-09-22,01:35:00,9.56,15.74,20078576,9,fall
177,2021-09-22,01:40:00,9.55,15.76,20078576,9,fall
178,2021-09-22,01:45:00,9.55,15.76,20078576,9,fall
179,2021-09-22,01:50:00,9.56,15.78,20078576,9,fall
180,2021-09-22,01:55:00,9.55,15.78,20078576,9,fall
181,2021-09-22,02:00:00,9.53,15.78,20078576,9,fall
182,2021-09-22,02:05:00,9.53,15.8,20078576,9,fall
183,2021-09-22,02:10:00,9.54,15.78,20078576,9,fall
184,2021-09-22,02:15:00,9.53,15.76,20078576,9,fall
185,2021-09-22,02:20:00,9.55,15.72,20078576,9,fall
186,2021-09-22,02:25:00,9.54,15.76,20078576,9,fall
187,2021-09-22,02:30:00,9.55,15.8,20078576,9,fall
188,2021-09-22,02:35:00,9.52,15.84,20078576,9,fall
189,2021-09-22,02:40:00,9.53,15.84,20078576,9,fall
190,2021-09-22,02:45:00,9.52,15.82,20078576,9,fall
191,2021-09-22,02:50:00,9.53,15.8,20078576,9,fall
192,2021-09-22,02:55:00,9.54,15.8,20078576,9,fall
193,2021-09-22,03:00:00,9.52,15.82,20078576,9,fall
194,2021-09-22,03:05:00,9.53,15.8,20078576,9,fall
195,2021-09-22,03:10:00,9.52,15.8,20078576,9,fall
196,2021-09-22,03:15:00,9.52,15.78,20078576,9,fall
197,2021-09-22,03:20:00,9.52,15.76,20078576,9,fall
198,2021-09-22,03:25:00,9.55,15.8,20078576,9,fall
199,2021-09-22,03:30:00,9.54,15.84,20078576,9,fall
200,2021-09-22,03:35:00,9.52,15.84,20078576,9,fall
201,2021-09-22,03:40:00,9.52,15.84,20078576,9,fall
202,2021-09-22,03:45:00,9.51,15.82,20078576,9,fall
203,2021-09-22,03:50:00,9.52,15.8,20078576,9,fall
204,2021-09-22,03:55:00,9.49,15.78,20078576,9,fall
205,2021-09-22,04:00:00,9.51,15.74,20078576,9,fall
206,2021-09-22,04:05:00,9.52,15.78,20078576,9,fall
207,2021-09-22,04:10:00,9.52,15.82,20078576,9,fall
208,2021-09-22,04:15:00,9.52,15.82,20078576,9,fall
209,2021-09-22,04:20:00,9.5,15.82,20078576,9,fall
210,2021-09-22,04:25:00,9.42,15.82,20078576,9,fall
211,2021-09-22,04:30:00,9.46,15.8,20078576,9,fall
212,2021-09-22,04:35:00,9.45,15.76,20078576,9,fall
213,2021-09-22,04:40:00,9.49,15.72,20078576,9,fall
214,2021-09-22,04:45:00,9.46,15.66,20078576,9,fall
215,2021-09-22,04:50:00,9.43,15.62,20078576,9,fall
216,2021-09-22,04:55:00,9.52,15.58,20078576,9,fall
217,2021-09-22,05:00:00,9.52,15.62,20078576,9,fall
218,2021-09-22,05:05:00,9.53,15.64,20078576,9,fall
219,2021-09-22,05:10:00,9.55,15.68,20078576,9,fall
220,2021-09-22,05:15:00,9.52,15.72,20078576,9,fall
221,2021-09-22,05:20:00,9.53,15.7,20078576,9,fall
222,2021-09-22,05:25:00,9.53,15.72,20078576,9,fall
223,2021-09-22,05:30:00,9.51,15.7,20078576,9,fall
224,2021-09-22,05:35:00,9.51,15.7,20078576,9,fall
225,2021-09-22,05:40:00,9.52,15.74,20078576,9,fall
226,2021-09-22,05:45:00,9.53,15.72,20078576,9,fall
227,2021-09-22,05:50:00,9.52,15.72,20078576,9,fall
228,2021-09-22,05:55:00,9.51,15.72,20078576,9,fall
229,2021-09-22,06:00:00,9.52,15.7,20078576,9,fall
230,2021-09-22,06:05:00,9.51,15.68,20078576,9,fall
231,2021-09-22,06:10:00,9.51,15.66,20078576,9,fall
232,2021-09-22,06:15:00,9.52,15.66,20078576,9,fall
233,2021-09-22,06:20:00,9.48,15.66,20078576,9,fall
234,2021-09-22,06:25:00,9.51,15.7,20078576,9,fall
235,2021-09-22,06:30:00,9.52,15.7,20078576,9,fall
236,2021-09-22,06:35:00,9.53,15.68,20078576,9,fall
237,2021-09-22,06:40:00,9.51,15.7,20078576,9,fall
238,2021-09-22,06:45:00,9.52,15.74,20078576,9,fall
239,2021-09-22,06:50:00,9.5,15.78,20078576,9,fall
240,2021-09-22,06:55:00,9.51,15.78,20078576,9,fall
241,2021-09-22,07:00:00,9.51,15.76,20078576,9,fall
242,2021-09-22,07:05:00,9.51,15.78,20078576,9,fall
243,2021-09-22,07:10:00,9.51,15.78,20078576,9,fall
244,2021-09-22,07:15:00,9.5,15.76,20078576,9,fall
245,2021-09-22,07:20:00,9.51,15.76,20078576,9,fall
246,2021-09-22,07:25:00,9.5,15.8,20078576,9,fall
247,2021-09-22,07:30:00,9.46,15.8,20078576,9,fall
248,2021-09-22,07:35:00,9.5,15.8,20078576,9,fall
249,2021-09-22,07:40:00,9.51,15.8,20078576,9,fall
250,2021-09-22,07:45:00,9.5,15.82,20078576,9,fall
251,2021-09-22,07:50:00,9.51,15.86,20078576,9,fall
252,2021-09-22,07:55:00,9.51,15.86,20078576,9,fall
253,2021-09-22,08:00:00,9.5,15.86,20078576,9,fall
254,2021-09-22,08:05:00,9.51,15.9,20078576,9,fall
255,2021-09-22,08:10:00,9.51,15.96,20078576,9,fall
256,2021-09-22,08:15:00,9.49,16.02,20078576,9,fall
257,2021-09-22,08:20:00,9.48,16.06,20078576,9,fall
258,2021-09-22,08:25:00,9.46,16.1,20078576,9,fall
259,2021-09-22,08:30:00,9.46,16.12,20078576,9,fall
260,2021-09-22,08:35:00,9.46,16.14,20078576,9,fall
261,2021-09-22,08:40:00,9.46,16.16,20078576,9,fall
262,2021-09-22,08:45:00,9.48,16.18,20078576,9,fall
263,2021-09-22,08:50:00,9.49,16.2,20078576,9,fall
264,2021-09-22,08:55:00,9.5,16.24,20078576,9,fall
265,2021-09-22,09:00:00,9.51,16.26,20078576,9,fall
266,2021-09-22,09:05:00,9.52,16.26,20078576,9,fall
267,2021-09-22,09:10:00,9.53,16.28,20078576,9,fall
268,2021-09-22,09:15:00,9.57,16.32,20078576,9,fall
269,2021-09-22,09:20:00,9.57,16.36,20078576,9,fall
270,2021-09-22,09:25:00,9.59,16.42,20078576,9,fall
271,2021-09-22,09:30:00,9.58,16.46,20078576,9,fall
272,2021-09-22,09:35:00,9.56,16.5,20078576,9,fall
273,2021-09-22,09:40:00,9.57,16.56,20078576,9,fall
274,2021-09-22,09:45:00,9.57,16.62,20078576,9,fall
275,2021-09-22,09:50:00,9.57,16.66,20078576,9,fall
276,2021-09-22,09:55:00,9.59,16.68,20078576,9,fall
277,2021-09-22,10:00:00,9.57,16.72,20078576,9,fall
278,2021-09-22,10:05:00,9.58,16.76,20078576,9,fall
279,2021-09-22,10:10:00,9.56,16.76,20078576,9,fall
280,2021-09-22,10:15:00,9.55,16.78,20078576,9,fall
281,2021-09-22,10:20:00,9.58,16.8,20078576,9,fall
282,2021-09-22,10:25:00,9.57,16.8,20078576,9,fall
283,2021-09-22,10:30:00,9.57,16.78,20078576,9,fall
284,2021-09-22,10:35:00,9.58,16.8,20078576,9,fall
285,2021-09-22,10:40:00,9.58,16.8,20078576,9,fall
286,2021-09-22,10:45:00,9.55,16.78,20078576,9,fall
287,2021-09-22,10:50:00,9.57,16.78,20078576,9,fall
288,2021-09-22,10:55:00,9.59,16.76,20078576,9,fall
289,2021-09-22,11:00:00,9.57,16.76,20078576,9,fall
290,2021-09-22,11:05:00,9.64,16.66,20078576,9,fall
291,2021-09-22,11:10:00,9.66,16.58,20078576,9,fall
292,2021-09-22,11:15:00,9.67,16.56,20078576,9,fall
293,2021-09-22,11:20:00,9.66,16.56,20078576,9,fall
294,2021-09-22,11:25:00,9.66,16.56,20078576,9,fall
295,2021-09-22,11:30:00,9.66,16.58,20078576,9,fall
296,2021-09-22,11:35:00,9.65,16.58,20078576,9,fall
297,2021-09-22,11:40:00,9.66,16.58,20078576,9,fall
298,2021-09-22,11:45:00,9.67,16.58,20078576,9,fall
299,2021-09-22,11:50:00,9.65,16.6,20078576,9,fall
300,2021-09-22,11:55:00,9.65,16.6,20078576,9,fall
301,2021-09-22,12:00:00,9.63,16.64,20078576,9,fall
302,2021-09-22,12:05:00,9.64,16.62,20078576,9,fall
303,2021-09-22,12:10:00,9.65,16.62,20078576,9,fall
304,2021-09-22,12:15:00,9.65,16.64,20078576,9,fall
305,2021-09-22,12:20:00,9.64,16.64,20078576,9,fall
306,2021-09-22,12:25:00,9.66,16.64,20078576,9,fall
307,2021-09-22,12:30:00,9.65,16.62,20078576,9,fall
308,2021-09-22,12:35:00,9.65,16.62,20078576,9,fall
309,2021-09-22,12:40:00,9.67,16.62,20078576,9,fall
310,2021-09-22,12:45:00,9.66,16.66,20078576,9,fall
311,2021-09-22,12:50:00,9.72,16.7,20078576,9,fall
312,2021-09-22,12:55:00,9.71,16.74,20078576,9,fall
313,2021-09-22,13:00:00,9.66,16.78,20078576,9,fall
314,2021-09-22,13:05:00,9.67,16.84,20078576,9,fall
315,2021-09-22,13:10:00,9.58,16.8,20078576,9,fall
316,2021-09-22,13:15:00,9.58,16.76,20078576,9,fall
317,2021-09-22,13:20:00,9.58,16.7,20078576,9,fall
318,2021-09-22,13:25:00,9.58,16.62,20078576,9,fall
319,2021-09-22,13:30:00,9.61,16.56,20078576,9,fall
320,2021-09-22,13:35:00,9.61,16.56,20078576,9,fall
321,2021-09-22,13:40:00,9.61,16.54,20078576,9,fall
322,2021-09-22,13:45:00,9.63,16.54,20078576,9,fall
323,2021-09-22,13:50:00,9.63,16.54,20078576,9,fall
324,2021-09-22,13:55:00,9.64,16.56,20078576,9,fall
325,2021-09-22,14:00:00,9.65,16.56,20078576,9,fall
326,2021-09-22,14:05:00,9.66,16.56,20078576,9,fall
327,2021-09-22,14:10:00,9.67,16.54,20078576,9,fall
328,2021-09-22,14:15:00,9.68,16.54,20078576,9,fall
329,2021-09-22,14:20:00,9.67,16.52,20078576,9,fall
330,2021-09-22,14:25:00,9.67,16.52,20078576,9,fall
331,2021-09-22,14:30:00,9.68,16.5,20078576,9,fall
332,2021-09-22,14:35:00,9.68,16.5,20078576,9,fall
333,2021-09-22,14:40:00,9.68,16.5,20078576,9,fall
334,2021-09-22,14:45:00,9.67,16.5,20078576,9,fall
335,2021-09-22,14:50:00,9.67,16.5,20078576,9,fall
336,2021-09-22,14:55:00,9.67,16.5,20078576,9,fall
337,2021-09-22,15:00:00,9.68,16.5,20078576,9,fall
338,2021-09-22,15:05:00,9.67,16.48,20078576,9,fall
339,2021-09-22,15:10:00,9.68,16.48,20078576,9,fall
340,2021-09-22,15:15:00,9.67,16.46,20078576,9,fall
341,2021-09-22,15:20:00,9.67,16.44,20078576,9,fall
342,2021-09-22,15:25:00,9.68,16.42,20078576,9,fall
343,2021-09-22,15:30:00,9.67,16.4,20078576,9,fall
344,2021-09-22,15:35:00,9.66,16.4,20078576,9,fall
345,2021-09-22,15:40:00,9.66,16.38,20078576,9,fall
346,2021-09-22,15:45:00,9.66,16.38,20078576,9,fall
347,2021-09-22,15:50:00,9.66,16.36,20078576,9,fall
348,2021-09-22,15:55:00,9.65,16.34,20078576,9,fall
349,2021-09-22,16:00:00,9.66,16.34,20078576,9,fall
350,2021-09-22,16:05:00,9.68,16.34,20078576,9,fall
351,2021-09-22,16:10:00,9.66,16.34,20078576,9,fall
352,2021-09-22,16:15:00,9.67,16.34,20078576,9,fall
353,2021-09-22,16:20:00,9.65,16.38,20078576,9,fall
354,2021-09-22,16:25:00,9.72,16.46,20078576,9,fall
355,2021-09-22,16:30:00,9.6,16.5,20078576,9,fall
356,2021-09-22,16:35:00,9.63,16.46,20078576,9,fall
357,2021-09-22,16:40:00,9.64,16.42,20078576,9,fall
358,2021-09-22,16:45:00,9.61,16.42,20078576,9,fall
359,2021-09-22,16:50:00,9.6,16.4,20078576,9,fall
360,2021-09-22,16:55:00,9.58,16.38,20078576,9,fall
361,2021-09-22,17:00:00,9.61,16.32,20078576,9,fall
362,2021-09-22,17:05:00,9.59,16.28,20078576,9,fall
363,2021-09-22,17:10:00,9.61,16.28,20078576,9,fall
364,2021-09-22,17:15:00,9.66,16.32,20078576,9,fall
365,2021-09-22,17:20:00,9.68,16.34,20078576,9,fall
366,2021-09-22,17:25:00,9.75,16.38,20078576,9,fall
367,2021-09-22,17:30:00,9.73,16.4,20078576,9,fall
368,2021-09-22,17:35:00,9.72,16.4,20078576,9,fall
369,2021-09-22,17:40:00,9.68,16.38,20078576,9,fall
370,2021-09-22,17:45:00,9.66,16.36,20078576,9,fall
371,2021-09-22,17:50:00,9.59,16.32,20078576,9,fall
372,2021-09-22,17:55:00,9.56,16.28,20078576,9,fall
373,2021-09-22,18:00:00,9.57,16.24,20078576,9,fall
374,2021-09-22,18:05:00,9.58,16.2,20078576,9,fall
375,2021-09-22,18:10:00,9.6,16.2,20078576,9,fall
376,2021-09-22,18:15:00,9.6,16.18,20078576,9,fall
377,2021-09-22,18:20:00,9.59,16.18,20078576,9,fall
378,2021-09-22,18:25:00,9.58,16.18,20078576,9,fall
379,2021-09-22,18:30:00,9.57,16.18,20078576,9,fall
380,2021-09-22,18:35:00,9.56,16.18,20078576,9,fall
381,2021-09-22,18:40:00,9.6,16.18,20078576,9,fall
382,2021-09-22,18:45:00,9.59,16.16,20078576,9,fall
383,2021-09-22,18:50:00,9.59,16.16,20078576,9,fall
384,2021-09-22,18:55:00,9.59,16.14,20078576,9,fall
385,2021-09-22,19:00:00,9.59,16.12,20078576,9,fall
386,2021-09-22,19:05:00,9.59,16.12,20078576,9,fall
387,2021-09-22,19:10:00,9.6,16.1,20078576,9,fall
388,2021-09-22,19:15:00,9.58,16.08,20078576,9,fall
389,2021-09-22,19:20:00,9.56,16.08,20078576,9,fall
390,2021-09-22,19:25:00,9.55,16.06,20078576,9,fall
391,2021-09-22,19:30:00,9.56,16.04,20078576,9,fall
392,2021-09-22,19:35:00,9.56,16.02,20078576,9,fall
393,2021-09-22,19:40:00,9.57,16.02,20078576,9,fall
394,2021-09-22,19:45:00,9.55,16.02,20078576,9,fall
395,2021-09-22,19:50:00,9.53,16,20078576,9,fall
396,2021-09-22,19:55:00,9.55,15.98,20078576,9,fall
397,2021-09-22,20:00:00,9.53,15.96,20078576,9,fall
398,2021-09-22,20:05:00,9.53,15.96,20078576,9,fall
399,2021-09-22,20:10:00,9.51,15.94,20078576,9,fall
400,2021-09-22,20:15:00,9.48,15.92,20078576,9,fall
401,2021-09-22,20:20:00,9.44,15.9,20078576,9,fall
402,2021-09-22,20:25:00,9.4,15.86,20078576,9,fall
403,2021-09-22,20:30:00,9.42,15.84,20078576,9,fall
404,2021-09-22,20:35:00,9.35,15.82,20078576,9,fall
405,2021-09-22,20:40:00,9.28,15.8,20078576,9,fall
406,2021-09-22,20:45:00,9.27,15.78,20078576,9,fall
407,2021-09-22,20:50:00,9.4,15.78,20078576,9,fall
408,2021-09-22,20:55:00,9.45,15.76,20078576,9,fall
409,2021-09-22,21:00:00,9.4,15.76,20078576,9,fall
410,2021-09-22,21:05:00,9.42,15.74,20078576,9,fall
411,2021-09-22,21:10:00,9.43,15.74,20078576,9,fall
412,2021-09-22,21:15:00,9.45,15.72,20078576,9,fall
413,2021-09-22,21:20:00,9.54,15.7,20078576,9,fall
414,2021-09-22,21:25:00,9.53,15.68,20078576,9,fall
415,2021-09-22,21:30:00,9.54,15.68,20078576,9,fall
416,2021-09-22,21:35:00,9.63,15.76,20078576,9,fall
417,2021-09-22,21:40:00,9.59,15.86,20078576,9,fall
418,2021-09-22,21:45:00,9.64,15.9,20078576,9,fall
419,2021-09-22,21:50:00,9.65,15.98,20078576,9,fall
420,2021-09-22,21:55:00,9.65,16.02,20078576,9,fall
421,2021-09-22,22:00:00,9.64,16.04,20078576,9,fall
422,2021-09-22,22:05:00,9.64,16.06,20078576,9,fall
423,2021-09-22,22:10:00,9.65,16.08,20078576,9,fall
424,2021-09-22,22:15:00,9.61,16.08,20078576,9,fall
425,2021-09-22,22:20:00,9.64,16.08,20078576,9,fall
426,2021-09-22,22:25:00,9.64,16.06,20078576,9,fall
427,2021-09-22,22:30:00,9.65,16.08,20078576,9,fall
428,2021-09-22,22:35:00,9.65,16.1,20078576,9,fall
429,2021-09-22,22:40:00,9.63,16.1,20078576,9,fall
430,2021-09-22,22:45:00,9.61,16.1,20078576,9,fall
431,2021-09-22,22:50:00,9.63,16.08,20078576,9,fall
432,2021-09-22,22:55:00,9.63,16.08,20078576,9,fall
433,2021-09-22,23:00:00,9.63,16.08,20078576,9,fall
434,2021-09-22,23:05:00,9.64,16.08,20078576,9,fall
435,2021-09-22,23:10:00,9.58,16.06,20078576,9,fall
